Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:00:00.927 AM 2026-08-31 	 90.908453 	 90.515046 	 303.098376 	 295.495567 	 -66312.724678 	 -66312.724678 	 295.540330 	 295.536564
12:00:06.060 AM 2026-08-31 	 91.248370 	 90.250816 	 303.099144 	 295.494341 	 -66312.712564 	 -66312.712564 	 295.519564 	 295.547814
12:00:11.177 AM 2026-08-31 	 91.588538 	 90.846278 	 303.099297 	 295.495413 	 -66312.718621 	 -66312.718621 	 295.523355 	 295.544543
12:00:16.267 AM 2026-08-31 	 91.985819 	 89.759131 	 303.098222 	 295.496640 	 -66312.682281 	 -66312.682281 	 295.532623 	 295.538273
12:00:21.355 AM 2026-08-31 	 91.420718 	 90.514794 	 303.100833 	 295.496027 	 -66312.627772 	 -66312.627772 	 295.544171 	 295.547938
12:00:26.432 AM 2026-08-31 	 91.243086 	 90.363409 	 303.100373 	 295.496793 	 -66312.670168 	 -66312.670168 	 295.533986 	 295.553290
12:00:31.609 AM 2026-08-31 	 91.400590 	 90.226131 	 303.101294 	 295.496486 	 -66312.664112 	 -66312.664112 	 295.522661 	 295.548557
12:00:36.734 AM 2026-08-31 	 91.279317 	 89.806234 	 303.100065 	 295.495260 	 -66312.718621 	 -66312.718621 	 295.539835 	 295.542189
12:00:41.837 AM 2026-08-31 	 92.112628 	 90.882046 	 303.100987 	 295.495567 	 -66312.688338 	 -66312.688338 	 295.525586 	 295.554306
12:00:46.974 AM 2026-08-31 	 91.008088 	 90.691367 	 303.102523 	 295.494954 	 -66312.627772 	 -66312.627772 	 295.531459 	 295.553587
12:00:52.144 AM 2026-08-31 	 91.270511 	 90.751064 	 303.100680 	 295.495107 	 -66312.724678 	 -66312.724678 	 295.547393 	 295.550688
12:00:57.313 AM 2026-08-31 	 91.660245 	 90.320589 	 303.100833 	 295.494800 	 -66312.664112 	 -66312.664112 	 295.535845 	 295.543378
12:01:02.472 AM 2026-08-31 	 91.435563 	 90.191370 	 303.101448 	 295.495260 	 -66312.621716 	 -66312.621716 	 295.530492 	 295.551679
12:01:07.579 AM 2026-08-31 	 91.856747 	 89.866435 	 303.101294 	 295.494187 	 -66312.542981 	 -66312.542981 	 295.519340 	 295.532524
12:01:12.704 AM 2026-08-31 	 91.628542 	 90.385827 	 303.099605 	 295.494494 	 -66312.506642 	 -66312.506642 	 295.532846 	 295.541321
12:01:17.800 AM 2026-08-31 	 91.849702 	 89.856360 	 303.099758 	 295.492808 	 -66312.530868 	 -66312.530868 	 295.536712 	 295.534829
12:01:22.957 AM 2026-08-31 	 91.977013 	 90.882298 	 303.100833 	 295.491582 	 -66312.343119 	 -66312.343119 	 295.539710 	 295.530764
12:01:28.097 AM 2026-08-31 	 92.093757 	 90.375752 	 303.099605 	 295.490202 	 -66312.318894 	 -66312.318894 	 295.535844 	 295.553736
12:01:33.204 AM 2026-08-31 	 91.929712 	 90.279783 	 303.099451 	 295.489589 	 -66312.209880 	 -66312.209880 	 295.563647 	 295.562706
12:01:38.342 AM 2026-08-31 	 91.438582 	 91.291615 	 303.098376 	 295.488516 	 -66312.215936 	 -66312.215936 	 295.538248 	 295.563672
12:01:43.519 AM 2026-08-31 	 91.981039 	 89.829912 	 303.097301 	 295.486830 	 -66312.137205 	 -66312.137205 	 295.555817 	 295.536513
12:01:48.624 AM 2026-08-31 	 91.047087 	 89.709006 	 303.096226 	 295.485144 	 -66312.191711 	 -66312.191711 	 295.528261 	 295.546623
12:01:53.732 AM 2026-08-31 	 91.046332 	 89.798174 	 303.097147 	 295.483765 	 -66312.034250 	 -66312.034250 	 295.535150 	 295.545508
12:01:58.834 AM 2026-08-31 	 91.734719 	 90.429152 	 303.096687 	 295.482692 	 -66312.064531 	 -66312.064531 	 295.535274 	 295.529624
12:02:03.942 AM 2026-08-31 	 91.811710 	 91.002196 	 303.095919 	 295.481772 	 -66312.022138 	 -66312.022138 	 295.525213 	 295.525213
12:02:09.045 AM 2026-08-31 	 91.565390 	 90.267944 	 303.095458 	 295.481159 	 -66311.828343 	 -66311.828343 	 295.545136 	 295.552198
12:02:14.172 AM 2026-08-31 	 91.553565 	 91.208996 	 303.096379 	 295.480546 	 -66311.713279 	 -66311.713279 	 295.522065 	 295.547961
12:02:19.329 AM 2026-08-31 	 90.512429 	 89.380041 	 303.096994 	 295.479013 	 -66311.549769 	 -66311.549769 	 295.537404 	 295.533638
12:02:24.432 AM 2026-08-31 	 91.552558 	 90.004722 	 303.097301 	 295.477174 	 -66311.331761 	 -66311.331761 	 295.543574 	 295.534158
12:02:29.618 AM 2026-08-31 	 92.133511 	 90.743256 	 303.098530 	 295.475948 	 -66311.313594 	 -66311.313594 	 295.538321 	 295.524196
12:02:34.744 AM 2026-08-31 	 91.185720 	 90.698924 	 303.098069 	 295.474722 	 -66311.083480 	 -66311.083480 	 295.524195 	 295.572219
12:02:39.906 AM 2026-08-31 	 91.994626 	 89.454095 	 303.097762 	 295.474262 	 -66311.004758 	 -66311.004758 	 295.531877 	 295.545531
12:02:45.031 AM 2026-08-31 	 91.223461 	 90.085577 	 303.096533 	 295.471963 	 -66310.817039 	 -66310.817039 	 295.526871 	 295.544763
12:02:50.153 AM 2026-08-31 	 91.182701 	 89.832179 	 303.096533 	 295.469664 	 -66310.653545 	 -66310.653545 	 295.530910 	 295.548802
12:02:55.267 AM 2026-08-31 	 92.670684 	 89.755605 	 303.096840 	 295.469204 	 -66310.605103 	 -66310.605103 	 295.532125 	 295.531183
12:03:00.420 AM 2026-08-31 	 91.892978 	 90.411772 	 303.096687 	 295.465679 	 -66310.435558 	 -66310.435558 	 295.519660 	 295.549322
12:03:05.566 AM 2026-08-31 	 91.742267 	 89.943261 	 303.094076 	 295.464606 	 -66310.326566 	 -66310.326566 	 295.518272 	 295.538518
12:03:10.689 AM 2026-08-31 	 91.065705 	 90.042505 	 303.095458 	 295.463686 	 -66310.211520 	 -66310.211520 	 295.531926 	 295.558292
12:03:15.876 AM 2026-08-31 	 91.357565 	 89.470216 	 303.095458 	 295.461540 	 -66310.114641 	 -66310.114641 	 295.539063 	 295.524467
12:03:20.941 AM 2026-08-31 	 92.393417 	 90.400185 	 303.094536 	 295.460621 	 -66310.029872 	 -66310.029872 	 295.531653 	 295.538245
12:03:26.076 AM 2026-08-31 	 90.816618 	 90.202705 	 303.095765 	 295.458781 	 -66309.884556 	 -66309.884556 	 295.534825 	 295.548479
12:03:31.218 AM 2026-08-31 	 91.142193 	 91.243252 	 303.095304 	 295.457555 	 -66309.860337 	 -66309.860337 	 295.532372 	 295.523426
12:03:36.365 AM 2026-08-31 	 90.723273 	 91.223101 	 303.093922 	 295.455256 	 -66309.745297 	 -66309.745297 	 295.531901 	 295.526722
12:03:41.476 AM 2026-08-31 	 91.661503 	 90.648042 	 303.093461 	 295.453877 	 -66309.781625 	 -66309.781625 	 295.531579 	 295.546645
12:03:46.619 AM 2026-08-31 	 90.839262 	 90.505726 	 303.093768 	 295.454336 	 -66309.666586 	 -66309.666586 	 295.533933 	 295.536287
12:03:51.795 AM 2026-08-31 	 91.468774 	 90.126887 	 303.093154 	 295.453570 	 -66309.642367 	 -66309.642367 	 295.534304 	 295.535246
12:03:56.938 AM 2026-08-31 	 91.614201 	 90.860132 	 303.093922 	 295.450964 	 -66309.666586 	 -66309.666586 	 295.538170 	 295.523574
12:04:02.054 AM 2026-08-31 	 91.745035 	 89.167447 	 303.090850 	 295.446213 	 -66309.563658 	 -66309.563658 	 295.535866 	 295.516561
12:04:07.239 AM 2026-08-31 	 91.227738 	 88.786342 	 303.085014 	 295.442228 	 -66309.521276 	 -66309.521276 	 295.519683 	 295.534280
12:04:12.431 AM 2026-08-31 	 92.088725 	 90.090363 	 303.079946 	 295.440849 	 -66309.545494 	 -66309.545494 	 295.532966 	 295.540029
12:04:17.581 AM 2026-08-31 	 92.175780 	 90.589604 	 303.078564 	 295.440695 	 -66309.521276 	 -66309.521276 	 295.532867 	 295.536634
12:04:22.733 AM 2026-08-31 	 91.088601 	 90.613786 	 303.079332 	 295.439316 	 -66309.509166 	 -66309.509166 	 295.514925 	 295.537526
12:04:27.906 AM 2026-08-31 	 92.299821 	 90.023109 	 303.078717 	 295.438550 	 -66309.575767 	 -66309.575767 	 295.523202 	 295.529323
12:04:33.052 AM 2026-08-31 	 92.623886 	 90.021598 	 303.079025 	 295.439622 	 -66309.551548 	 -66309.551548 	 295.526399 	 295.533462
12:04:38.206 AM 2026-08-31 	 91.678360 	 89.600694 	 303.080868 	 295.437477 	 -66309.581821 	 -66309.581821 	 295.511927 	 295.543944
12:04:43.336 AM 2026-08-31 	 91.128355 	 89.608754 	 303.081636 	 295.431346 	 -66309.624204 	 -66309.624204 	 295.534230 	 295.549297
12:04:48.497 AM 2026-08-31 	 91.827812 	 89.933186 	 303.078564 	 295.423989 	 -66309.757406 	 -66309.757406 	 295.532421 	 295.523946
12:04:53.688 AM 2026-08-31 	 90.892854 	 90.047039 	 303.073189 	 295.420310 	 -66309.860337 	 -66309.860337 	 295.535197 	 295.525309
12:04:58.756 AM 2026-08-31 	 91.857502 	 90.662400 	 303.066892 	 295.419237 	 -66309.945104 	 -66309.945104 	 295.524244 	 295.524244
12:05:03.867 AM 2026-08-31 	 91.481858 	 89.911523 	 303.065509 	 295.419851 	 -66310.017762 	 -66310.017762 	 295.527837 	 295.537724
12:05:08.970 AM 2026-08-31 	 91.745790 	 90.252075 	 303.061977 	 295.418931 	 -66310.102531 	 -66310.102531 	 295.522534 	 295.527242
12:05:14.129 AM 2026-08-31 	 91.352282 	 89.998676 	 303.061824 	 295.418931 	 -66310.150970 	 -66310.150970 	 295.540153 	 295.534974
12:05:19.249 AM 2026-08-31 	 91.434556 	 89.932178 	 303.061670 	 295.418931 	 -66310.163080 	 -66310.163080 	 295.543028 	 295.526548
12:05:24.424 AM 2026-08-31 	 90.761517 	 91.177762 	 303.061363 	 295.419237 	 -66310.157025 	 -66310.157025 	 295.533586 	 295.535940
12:05:29.560 AM 2026-08-31 	 91.389268 	 90.607237 	 303.064127 	 295.419697 	 -66310.163080 	 -66310.163080 	 295.530315 	 295.540203
12:05:34.710 AM 2026-08-31 	 90.455567 	 89.453340 	 303.066277 	 295.420617 	 -66310.229685 	 -66310.229685 	 295.523525 	 295.511283
12:05:39.787 AM 2026-08-31 	 91.112504 	 89.342257 	 303.067967 	 295.418165 	 -66310.217575 	 -66310.217575 	 295.526772 	 295.537130
12:05:44.899 AM 2026-08-31 	 91.520353 	 89.994898 	 303.071346 	 295.417705 	 -66310.368951 	 -66310.368951 	 295.537750 	 295.516091
12:05:50.014 AM 2026-08-31 	 91.268246 	 90.770712 	 303.073803 	 295.418318 	 -66310.320511 	 -66310.320511 	 295.536139 	 295.533785
12:05:55.150 AM 2026-08-31 	 91.819761 	 90.677765 	 303.076107 	 295.416172 	 -66310.423447 	 -66310.423447 	 295.530910 	 295.531852
12:06:00.287 AM 2026-08-31 	 91.010856 	 89.817821 	 303.077028 	 295.415099 	 -66310.441613 	 -66310.441613 	 295.522509 	 295.537105
12:06:05.438 AM 2026-08-31 	 91.445375 	 90.504466 	 303.078564 	 295.412953 	 -66310.592993 	 -66310.592993 	 295.535842 	 295.538667
12:06:10.554 AM 2026-08-31 	 91.705282 	 90.755850 	 303.079946 	 295.412647 	 -66310.641435 	 -66310.641435 	 295.536040 	 295.518148
12:06:15.652 AM 2026-08-31 	 90.751201 	 89.747293 	 303.082403 	 295.412953 	 -66310.677766 	 -66310.677766 	 295.512647 	 295.531480
12:06:20.798 AM 2026-08-31 	 91.919396 	 90.067945 	 303.083786 	 295.413873 	 -66310.817039 	 -66310.817039 	 295.521692 	 295.513688
12:06:25.993 AM 2026-08-31 	 91.733210 	 89.996661 	 303.086089 	 295.413567 	 -66310.780707 	 -66310.780707 	 295.505534 	 295.527664
12:06:31.144 AM 2026-08-31 	 90.939400 	 90.790611 	 303.088854 	 295.414486 	 -66310.798873 	 -66310.798873 	 295.518322 	 295.549397
12:06:36.320 AM 2026-08-31 	 91.167605 	 91.743501 	 303.091004 	 295.414793 	 -66310.720154 	 -66310.720154 	 295.540129 	 295.517058
12:06:41.462 AM 2026-08-31 	 91.939273 	 89.447546 	 303.092386 	 295.415866 	 -66310.780707 	 -66310.780707 	 295.516364 	 295.551206
12:06:46.544 AM 2026-08-31 	 91.007082 	 90.057114 	 303.093615 	 295.414946 	 -66310.792818 	 -66310.792818 	 295.529126 	 295.537601
12:06:51.669 AM 2026-08-31 	 91.852470 	 91.095395 	 303.093461 	 295.414026 	 -66310.762541 	 -66310.762541 	 295.525236 	 295.520527
12:06:56.793 AM 2026-08-31 	 91.942544 	 90.670964 	 303.095304 	 295.414946 	 -66310.726209 	 -66310.726209 	 295.540625 	 295.526970
12:07:01.908 AM 2026-08-31 	 90.993244 	 89.323114 	 303.097915 	 295.412494 	 -66310.671711 	 -66310.671711 	 295.514034 	 295.546522
12:07:07.063 AM 2026-08-31 	 91.282588 	 90.203965 	 303.099297 	 295.409888 	 -66310.611158 	 -66310.611158 	 295.547687 	 295.522733
12:07:12.240 AM 2026-08-31 	 91.489909 	 90.463409 	 303.099297 	 295.409275 	 -66310.465834 	 -66310.465834 	 295.536263 	 295.523079
12:07:17.357 AM 2026-08-31 	 91.349766 	 90.541242 	 303.099758 	 295.406210 	 -66310.453723 	 -66310.453723 	 295.542334 	 295.537155
12:07:22.499 AM 2026-08-31 	 90.845804 	 90.490361 	 303.097762 	 295.404217 	 -66310.241795 	 -66310.241795 	 295.515099 	 295.527812
12:07:27.603 AM 2026-08-31 	 91.895242 	 90.523610 	 303.096687 	 295.401305 	 -66310.096476 	 -66310.096476 	 295.510738 	 295.527217
12:07:32.754 AM 2026-08-31 	 91.023688 	 89.751575 	 303.096379 	 295.397320 	 -66309.957214 	 -66309.957214 	 295.526177 	 295.534181
12:07:37.892 AM 2026-08-31 	 91.909080 	 91.364662 	 303.095458 	 295.395327 	 -66309.690805 	 -66309.690805 	 295.526498 	 295.532619
12:07:43.002 AM 2026-08-31 	 90.892099 	 91.062397 	 303.094383 	 295.392569 	 -66309.612094 	 -66309.612094 	 295.504517 	 295.546893
12:07:48.129 AM 2026-08-31 	 91.765666 	 90.034192 	 303.092540 	 295.392109 	 -66309.527330 	 -66309.527330 	 295.502757 	 295.517825
12:07:53.252 AM 2026-08-31 	 92.409771 	 91.643754 	 303.091618 	 295.390883 	 -66309.279096 	 -66309.279096 	 295.529051 	 295.529992
12:07:58.430 AM 2026-08-31 	 91.442859 	 90.409001 	 303.091465 	 295.387358 	 -66309.176172 	 -66309.176172 	 295.514033 	 295.528158
12:08:03.526 AM 2026-08-31 	 90.955755 	 90.582048 	 303.091465 	 295.388584 	 -66308.976381 	 -66308.976381 	 295.529695 	 295.537699
12:08:08.687 AM 2026-08-31 	 91.373417 	 89.827393 	 303.091311 	 295.387971 	 -66308.927948 	 -66308.927948 	 295.536088 	 295.539384
12:08:13.820 AM 2026-08-31 	 91.779253 	 90.661896 	 303.092847 	 295.385518 	 -66308.812919 	 -66308.812919 	 295.524317 	 295.501245
12:08:18.957 AM 2026-08-31 	 91.567151 	 89.596412 	 303.090543 	 295.385365 	 -66308.782648 	 -66308.782648 	 295.529373 	 295.538318
12:08:24.034 AM 2026-08-31 	 92.166471 	 89.266439 	 303.086857 	 295.384445 	 -66308.746324 	 -66308.746324 	 295.509919 	 295.504269
12:08:29.160 AM 2026-08-31 	 92.064068 	 90.487842 	 303.085168 	 295.384445 	 -66308.710000 	 -66308.710000 	 295.528133 	 295.524367
12:08:34.297 AM 2026-08-31 	 91.956382 	 90.933431 	 303.084093 	 295.383679 	 -66308.691838 	 -66308.691838 	 295.536063 	 295.537005
12:08:39.412 AM 2026-08-31 	 91.169366 	 90.424618 	 303.083018 	 295.383679 	 -66308.764486 	 -66308.764486 	 295.537773 	 295.515644
12:08:44.519 AM 2026-08-31 	 91.652193 	 90.137718 	 303.082250 	 295.384599 	 -66308.794757 	 -66308.794757 	 295.525185 	 295.521889
12:08:49.677 AM 2026-08-31 	 92.931597 	 89.684824 	 303.082403 	 295.384752 	 -66308.861352 	 -66308.861352 	 295.526870 	 295.518865
12:08:54.851 AM 2026-08-31 	 91.884675 	 90.142756 	 303.082250 	 295.384139 	 -66308.782648 	 -66308.782648 	 295.510539 	 295.529373
12:08:59.959 AM 2026-08-31 	 92.358696 	 90.061396 	 303.083478 	 295.383219 	 -66308.776594 	 -66308.776594 	 295.510514 	 295.509572
12:09:05.096 AM 2026-08-31 	 91.604892 	 90.578269 	 303.084707 	 295.384139 	 -66308.673676 	 -66308.673676 	 295.512447 	 295.528456
12:09:10.223 AM 2026-08-31 	 92.039914 	 90.058374 	 303.084554 	 295.383832 	 -66308.697892 	 -66308.697892 	 295.527613 	 295.518196
12:09:15.310 AM 2026-08-31 	 91.570674 	 90.110514 	 303.085936 	 295.383986 	 -66308.576812 	 -66308.576812 	 295.512992 	 295.511109
12:09:20.471 AM 2026-08-31 	 91.635587 	 90.366432 	 303.086397 	 295.385825 	 -66308.528380 	 -66308.528380 	 295.518444 	 295.526448
12:09:25.606 AM 2026-08-31 	 90.892602 	 90.023865 	 303.088086 	 295.386131 	 -66308.492057 	 -66308.492057 	 295.504640 	 295.517353
12:09:30.746 AM 2026-08-31 	 92.266609 	 90.547035 	 303.089161 	 295.385518 	 -66308.383087 	 -66308.383087 	 295.523028 	 295.527266
12:09:35.898 AM 2026-08-31 	 91.723145 	 89.847544 	 303.090083 	 295.386438 	 -66308.310442 	 -66308.310442 	 295.524614 	 295.534973
12:09:40.992 AM 2026-08-31 	 92.066836 	 90.456608 	 303.090083 	 295.386744 	 -66308.268065 	 -66308.268065 	 295.521616 	 295.533858
12:09:46.103 AM 2026-08-31 	 91.550797 	 90.185577 	 303.085629 	 295.388584 	 -66308.195420 	 -66308.195420 	 295.514256 	 295.509547
12:09:51.238 AM 2026-08-31 	 92.208992 	 89.785831 	 303.084400 	 295.388124 	 -66308.068293 	 -66308.068293 	 295.487838 	 295.541044
12:09:56.419 AM 2026-08-31 	 91.783027 	 89.613037 	 303.081943 	 295.389043 	 -66308.038025 	 -66308.038025 	 295.504665 	 295.529620
12:10:01.608 AM 2026-08-31 	 90.877758 	 90.822600 	 303.082096 	 295.389963 	 -66308.038025 	 -66308.038025 	 295.518791 	 295.540449
12:10:06.815 AM 2026-08-31 	 91.395809 	 90.433434 	 303.082557 	 295.389350 	 -66307.953275 	 -66307.953275 	 295.518915 	 295.517031
12:10:11.939 AM 2026-08-31 	 90.766800 	 89.838728 	 303.080714 	 295.390576 	 -66307.868526 	 -66307.868526 	 295.510563 	 295.514801
12:10:17.077 AM 2026-08-31 	 92.006703 	 90.293637 	 303.082403 	 295.389197 	 -66307.795884 	 -66307.795884 	 295.522508 	 295.522037
12:10:22.226 AM 2026-08-31 	 91.420718 	 90.534189 	 303.085014 	 295.391036 	 -66307.632442 	 -66307.632442 	 295.519485 	 295.518543
12:10:27.331 AM 2026-08-31 	 91.512805 	 90.340991 	 303.085321 	 295.390116 	 -66307.499269 	 -66307.499269 	 295.509522 	 295.500105
12:10:32.506 AM 2026-08-31 	 91.578222 	 90.572476 	 303.087011 	 295.391956 	 -66307.311620 	 -66307.311620 	 295.512992 	 295.520055
12:10:37.676 AM 2026-08-31 	 92.343600 	 89.956611 	 303.087011 	 295.392109 	 -66307.184505 	 -66307.184505 	 295.513413 	 295.509175
12:10:42.814 AM 2026-08-31 	 91.321586 	 90.582803 	 303.086857 	 295.392109 	 -66306.851592 	 -66306.851592 	 295.528530 	 295.512050
12:10:47.917 AM 2026-08-31 	 91.819258 	 91.590605 	 303.086397 	 295.391649 	 -66306.778958 	 -66306.778958 	 295.531058 	 295.522112
12:10:53.106 AM 2026-08-31 	 91.476826 	 89.762658 	 303.085629 	 295.390883 	 -66306.440007 	 -66306.440007 	 295.506127 	 295.518370
12:10:58.193 AM 2026-08-31 	 92.144078 	 90.382049 	 303.086397 	 295.391649 	 -66306.258431 	 -66306.258431 	 295.497379 	 295.541639
12:11:03.276 AM 2026-08-31 	 91.458207 	 90.366936 	 303.086243 	 295.391802 	 -66306.125278 	 -66306.125278 	 295.509077 	 295.540623
12:11:08.374 AM 2026-08-31 	 92.235913 	 90.074494 	 303.088240 	 295.392109 	 -66305.780298 	 -66305.780298 	 295.503897 	 295.518023
12:11:13.481 AM 2026-08-31 	 91.428518 	 90.418825 	 303.088547 	 295.393028 	 -66305.628995 	 -66305.628995 	 295.521641 	 295.508928
12:11:18.617 AM 2026-08-31 	 91.372410 	 90.039734 	 303.089161 	 295.393488 	 -66305.532162 	 -66305.532162 	 295.499585 	 295.517478
12:11:23.696 AM 2026-08-31 	 91.878888 	 90.046031 	 303.090390 	 295.394714 	 -66305.453487 	 -66305.453487 	 295.531752 	 295.526573
12:11:28.832 AM 2026-08-31 	 91.528656 	 90.241496 	 303.089775 	 295.394714 	 -66305.308241 	 -66305.308241 	 295.510911 	 295.527862
12:11:33.987 AM 2026-08-31 	 92.675716 	 90.976252 	 303.089315 	 295.395941 	 -66305.368760 	 -66305.368760 	 295.513042 	 295.520576
12:11:39.167 AM 2026-08-31 	 91.498212 	 91.025622 	 303.089622 	 295.398393 	 -66305.181152 	 -66305.181152 	 295.483080 	 295.527341
12:11:44.313 AM 2026-08-31 	 91.620994 	 90.623861 	 303.087779 	 295.400232 	 -66305.229567 	 -66305.229567 	 295.499288 	 295.521419
12:11:49.439 AM 2026-08-31 	 91.308000 	 90.223108 	 303.085014 	 295.401918 	 -66305.205360 	 -66305.205360 	 295.495422 	 295.527441
12:11:54.577 AM 2026-08-31 	 91.673328 	 89.798929 	 303.083632 	 295.403451 	 -66305.193256 	 -66305.193256 	 295.520799 	 295.510911
12:11:59.690 AM 2026-08-31 	 92.033373 	 90.238725 	 303.082250 	 295.404524 	 -66305.169049 	 -66305.169049 	 295.519758 	 295.538121
12:12:04.814 AM 2026-08-31 	 90.546899 	 90.084570 	 303.083018 	 295.404217 	 -66305.169049 	 -66305.169049 	 295.519758 	 295.519288
12:12:09.953 AM 2026-08-31 	 92.194902 	 90.789099 	 303.083018 	 295.405290 	 -66305.108531 	 -66305.108531 	 295.515744 	 295.528457
12:12:15.077 AM 2026-08-31 	 91.266233 	 90.027391 	 303.077489 	 295.403604 	 -66305.181152 	 -66305.181152 	 295.508507 	 295.509920
12:12:20.231 AM 2026-08-31 	 91.681379 	 89.867191 	 303.070731 	 295.403451 	 -66305.132738 	 -66305.132738 	 295.528085 	 295.507838
12:12:25.381 AM 2026-08-31 	 91.076776 	 89.543264 	 303.064742 	 295.401918 	 -66305.181152 	 -66305.181152 	 295.502386 	 295.515099
12:12:30.536 AM 2026-08-31 	 91.416189 	 89.986838 	 303.063974 	 295.403144 	 -66305.247722 	 -66305.247722 	 295.522906 	 295.523847
12:12:35.664 AM 2026-08-31 	 90.929336 	 90.086585 	 303.062745 	 295.402838 	 -66305.193256 	 -66305.193256 	 295.517974 	 295.511382
12:12:40.830 AM 2026-08-31 	 90.894363 	 89.473491 	 303.062745 	 295.403911 	 -66305.259826 	 -66305.259826 	 295.508830 	 295.536139
12:12:45.980 AM 2026-08-31 	 91.393042 	 90.195400 	 303.063820 	 295.404370 	 -66305.259826 	 -66305.259826 	 295.515421 	 295.520601
12:12:51.086 AM 2026-08-31 	 92.342593 	 90.397414 	 303.065202 	 295.404217 	 -66305.362708 	 -66305.362708 	 295.510192 	 295.505013
12:12:56.219 AM 2026-08-31 	 91.628291 	 90.700687 	 303.061056 	 295.402071 	 -66305.465591 	 -66305.465591 	 295.508259 	 295.526152
12:13:01.373 AM 2026-08-31 	 91.213900 	 89.790617 	 303.055066 	 295.400385 	 -66305.526110 	 -66305.526110 	 295.520278 	 295.527341
12:13:06.501 AM 2026-08-31 	 91.120555 	 90.229657 	 303.048001 	 295.398086 	 -66305.556370 	 -66305.556370 	 295.508631 	 295.520402
12:13:11.662 AM 2026-08-31 	 92.644517 	 90.017316 	 303.041704 	 295.398699 	 -66305.622943 	 -66305.622943 	 295.529150 	 295.539979
12:13:16.820 AM 2026-08-31 	 90.822405 	 89.441249 	 303.039094 	 295.399159 	 -66305.846872 	 -66305.846872 	 295.512645 	 295.540425
12:13:21.940 AM 2026-08-31 	 92.485252 	 89.496916 	 303.039401 	 295.398546 	 -66305.804507 	 -66305.804507 	 295.495521 	 295.519535
12:13:27.046 AM 2026-08-31 	 92.224843 	 90.086837 	 303.041244 	 295.398853 	 -66305.955812 	 -66305.955812 	 295.499436 	 295.530042
12:13:32.170 AM 2026-08-31 	 91.467768 	 89.601702 	 303.044162 	 295.398853 	 -66306.040545 	 -66306.040545 	 295.516734 	 295.531331
12:13:37.298 AM 2026-08-31 	 91.516327 	 89.799433 	 303.046312 	 295.399772 	 -66306.119225 	 -66306.119225 	 295.515644 	 295.524590
12:13:42.396 AM 2026-08-31 	 91.046835 	 90.067190 	 303.050766 	 295.399926 	 -66306.137383 	 -66306.137383 	 295.525606 	 295.502063
12:13:47.546 AM 2026-08-31 	 91.920403 	 90.256609 	 303.056295 	 295.400539 	 -66306.240274 	 -66306.240274 	 295.530736 	 295.540623
12:13:52.655 AM 2026-08-31 	 91.334166 	 91.356098 	 303.060902 	 295.398240 	 -66306.306851 	 -66306.306851 	 295.511703 	 295.523004
12:13:57.826 AM 2026-08-31 	 90.366248 	 89.597168 	 303.063359 	 295.398699 	 -66306.312904 	 -66306.312904 	 295.531033 	 295.525383
12:14:02.991 AM 2026-08-31 	 91.686160 	 91.221590 	 303.065356 	 295.398699 	 -66306.367376 	 -66306.367376 	 295.524193 	 295.523252
12:14:08.128 AM 2026-08-31 	 90.406756 	 91.282799 	 303.066585 	 295.398086 	 -66306.361324 	 -66306.361324 	 295.519931 	 295.522756
12:14:13.257 AM 2026-08-31 	 91.664019 	 90.552577 	 303.067199 	 295.398546 	 -66306.421849 	 -66306.421849 	 295.510762 	 295.509349
12:14:18.370 AM 2026-08-31 	 91.781266 	 90.461897 	 303.069042 	 295.398086 	 -66306.452112 	 -66306.452112 	 295.514182 	 295.519832
12:14:23.480 AM 2026-08-31 	 91.520101 	 90.363158 	 303.069656 	 295.398699 	 -66306.433955 	 -66306.433955 	 295.502807 	 295.509870
12:14:28.594 AM 2026-08-31 	 91.606653 	 90.514038 	 303.068735 	 295.400079 	 -66306.415797 	 -66306.415797 	 295.530042 	 295.516858
12:14:33.752 AM 2026-08-31 	 91.106465 	 90.180791 	 303.070424 	 295.399466 	 -66306.397639 	 -66306.397639 	 295.527613 	 295.506425
12:14:38.915 AM 2026-08-31 	 91.412918 	 90.591368 	 303.070885 	 295.401305 	 -66306.234221 	 -66306.234221 	 295.502460 	 295.521765
12:14:44.054 AM 2026-08-31 	 91.993368 	 89.967442 	 303.072113 	 295.399926 	 -66306.210012 	 -66306.210012 	 295.520724 	 295.530141
12:14:49.178 AM 2026-08-31 	 90.596465 	 90.315047 	 303.073035 	 295.400385 	 -66306.228169 	 -66306.228169 	 295.517502 	 295.517502
12:14:54.338 AM 2026-08-31 	 91.787053 	 90.321344 	 303.073649 	 295.399772 	 -66306.234221 	 -66306.234221 	 295.518469 	 295.528357
12:14:59.446 AM 2026-08-31 	 91.727926 	 90.468698 	 303.072267 	 295.399772 	 -66306.210012 	 -66306.210012 	 295.509894 	 295.516016
12:15:04.573 AM 2026-08-31 	 91.687418 	 89.899181 	 303.071038 	 295.399159 	 -66306.191854 	 -66306.191854 	 295.504170 	 295.517354
12:15:09.720 AM 2026-08-31 	 91.162321 	 89.447043 	 303.070578 	 295.399312 	 -66306.137383 	 -66306.137383 	 295.503476 	 295.507243
